Source,Target,Weight,Country
GD Elliott,Al-Amin Hossain,11,New Zealand
GD Elliott,Mustafizur Rahman,11,New Zealand
GD Elliott,Taskin Ahmed,11,New Zealand
GD Elliott,RG Sharma,11,New Zealand
GD Elliott,S Dhawan,11,New Zealand
GD Elliott,V Kohli,11,New Zealand
GD Elliott,SK Raina,11,New Zealand
GD Elliott,MS Dhoni,11,New Zealand
GD Elliott,AJ Finch,11,New Zealand
GD Elliott,DA Warner,11,New Zealand
GD Elliott,SPD Smith,11,New Zealand
GD Elliott,CA Lynn,11,New Zealand
GD Elliott,SR Watson,11,New Zealand
GD Elliott,HH Pandya,11,New Zealand
GD Elliott,JJ Bumrah,11,New Zealand
GD Elliott,A Nehra,11,New Zealand
GD Elliott,SE Marsh,11,New Zealand
GD Elliott,GJ Maxwell,11,New Zealand
GD Elliott,AJ Tye,11,New Zealand
GD Elliott,AM Rahane,11,New Zealand
GD Elliott,S Prasanna,11,New Zealand
GD Elliott,JJ Roy,11,New Zealand
GD Elliott,EJG Morgan,11,New Zealand
GD Elliott,JC Buttler,11,New Zealand
GD Elliott,CJ Jordan,11,New Zealand
GD Elliott,AU Rashid,11,New Zealand
GD Elliott,DJ Willey,11,New Zealand
GD Elliott,HM Amla,11,New Zealand
GD Elliott,AB de,11,New Zealand
GD Elliott,DA Miller,11,New Zealand
GD Elliott,D Wiese,11,New Zealand
GD Elliott,CH Morris,11,New Zealand
GD Elliott,KJ Abbott,11,New Zealand
GD Elliott,Imran Tahir,11,New Zealand
GD Elliott,SW Billings,11,New Zealand
GD Elliott,SL Malinga,11,New Zealand
GD Elliott,Mohammad Sami,11,New Zealand
GD Elliott,B Kumar,11,New Zealand
GD Elliott,A Zampa,11,New Zealand
GD Elliott,F Behardien,11,New Zealand
GD Elliott,J Charles,11,New Zealand
GD Elliott,CH Gayle,11,New Zealand
GD Elliott,MN Samuels,11,New Zealand
GD Elliott,DJ Bravo,11,New Zealand
GD Elliott,AD Russell,11,New Zealand
GD Elliott,DJG Sammy,11,New Zealand
GD Elliott,CR Brathwaite,11,New Zealand
GD Elliott,S Badree,11,New Zealand
GD Elliott,ADS Fletcher,11,New Zealand
GD Elliott,LE Plunkett,11,New Zealand
GD Elliott,E Lewis,11,New Zealand
GD Elliott,LMP Simmons,11,New Zealand
GD Elliott,R Dhawan,11,New Zealand
GD Elliott,JD Unadkat,11,New Zealand
GD Elliott,YS Chahal,11,New Zealand
GD Elliott,DS Kulkarni,11,New Zealand
GD Elliott,LA Dawson,11,New Zealand
GD Elliott,TS Mills,11,New Zealand
GD Elliott,KA Pollard,11,New Zealand
GD Elliott,SP Narine,11,New Zealand
GD Elliott,A Mishra,11,New Zealand
GD Elliott,GJ Bailey,11,New Zealand
GD Elliott,MC Henriques,11,New Zealand
GD Elliott,Babar Azam,11,New Zealand
GD Elliott,Sohail Tanvir,11,New Zealand
GD Elliott,Hasan Ali,11,New Zealand
GD Elliott,CAK Walton,11,New Zealand
GD Elliott,KOK Williams,11,New Zealand
GD Elliott,Rumman Raees,11,New Zealand
GD Elliott,Rubel Hossain,11,New Zealand
GD Elliott,JDS Neesham,11,New Zealand
GD Elliott,JT Smuts,11,New Zealand
GD Elliott,M Klinger,11,New Zealand
GD Elliott,Kamran Akmal,11,New Zealand
GD Elliott,Shadab Khan,11,New Zealand
GD Elliott,T Shamsi,11,New Zealand
GD Elliott,DJ Malan,11,New Zealand
GD Elliott,KD Karthik,11,New Zealand
GD Elliott,Kuldeep Yadav,11,New Zealand
GD Elliott,Sohail Khan,11,New Zealand
GD Elliott,DT Christian,11,New Zealand
NLTC Perera,L Ronchi,26,Sri Lanka
NLTC Perera,MJ Henry,26,Sri Lanka
NLTC Perera,MJ McClenaghan,26,Sri Lanka
NLTC Perera,IS Sodhi,26,Sri Lanka
NLTC Perera,Mohammad Shahzad,26,Sri Lanka
NLTC Perera,Mohammad Nabi,26,Sri Lanka
NLTC Perera,Rashid Khan,26,Sri Lanka
NLTC Perera,MJ Santner,26,Sri Lanka
NLTC Perera,AF Milne,26,Sri Lanka
NLTC Perera,Mohammad Hafeez,26,Sri Lanka
NLTC Perera,Ahmed Shehzad,26,Sri Lanka
NLTC Perera,Shoaib Malik,26,Sri Lanka
NLTC Perera,Umar Akmal,26,Sri Lanka
NLTC Perera,Shahid Afridi,26,Sri Lanka
NLTC Perera,Imad Wasim,26,Sri Lanka
NLTC Perera,Wahab Riaz,26,Sri Lanka
NLTC Perera,Mohammad Amir,26,Sri Lanka
NLTC Perera,Tamim Iqbal,26,Sri Lanka
NLTC Perera,Sabbir Rahman,26,Sri Lanka
NLTC Perera,Shakib Al,26,Sri Lanka
NLTC Perera,Mahmudullah,26,Sri Lanka
NLTC Perera,Mashrafe Mortaza,26,Sri Lanka
NLTC Perera,Al-Amin Hossain,26,Sri Lanka
NLTC Perera,Mustafizur Rahman,26,Sri Lanka
NLTC Perera,Taskin Ahmed,26,Sri Lanka
NLTC Perera,RG Sharma,26,Sri Lanka
NLTC Perera,S Dhawan,26,Sri Lanka
NLTC Perera,V Kohli,26,Sri Lanka
NLTC Perera,SK Raina,26,Sri Lanka
NLTC Perera,MS Dhoni,26,Sri Lanka
NLTC Perera,AJ Finch,26,Sri Lanka
NLTC Perera,DA Warner,26,Sri Lanka
NLTC Perera,SPD Smith,26,Sri Lanka
NLTC Perera,CA Lynn,26,Sri Lanka
NLTC Perera,SR Watson,26,Sri Lanka
NLTC Perera,HH Pandya,26,Sri Lanka
NLTC Perera,JJ Bumrah,26,Sri Lanka
NLTC Perera,A Nehra,26,Sri Lanka
NLTC Perera,SE Marsh,26,Sri Lanka
NLTC Perera,GJ Maxwell,26,Sri Lanka
NLTC Perera,AJ Tye,26,Sri Lanka
NLTC Perera,AM Rahane,26,Sri Lanka
NLTC Perera,S Prasanna,26,Sri Lanka
NLTC Perera,JJ Roy,26,Sri Lanka
NLTC Perera,EJG Morgan,26,Sri Lanka
NLTC Perera,JC Buttler,26,Sri Lanka
NLTC Perera,CJ Jordan,26,Sri Lanka
NLTC Perera,AU Rashid,26,Sri Lanka
NLTC Perera,DJ Willey,26,Sri Lanka
NLTC Perera,HM Amla,26,Sri Lanka
NLTC Perera,AB de,26,Sri Lanka
NLTC Perera,DA Miller,26,Sri Lanka
NLTC Perera,D Wiese,26,Sri Lanka
NLTC Perera,CH Morris,26,Sri Lanka
NLTC Perera,KJ Abbott,26,Sri Lanka
NLTC Perera,Imran Tahir,26,Sri Lanka
NLTC Perera,SW Billings,26,Sri Lanka
NLTC Perera,SL Malinga,26,Sri Lanka
NLTC Perera,Mohammad Sami,26,Sri Lanka
NLTC Perera,B Kumar,26,Sri Lanka
NLTC Perera,A Zampa,26,Sri Lanka
NLTC Perera,F Behardien,26,Sri Lanka
NLTC Perera,J Charles,26,Sri Lanka
NLTC Perera,CH Gayle,26,Sri Lanka
NLTC Perera,MN Samuels,26,Sri Lanka
NLTC Perera,DJ Bravo,26,Sri Lanka
NLTC Perera,AD Russell,26,Sri Lanka
NLTC Perera,DJG Sammy,26,Sri Lanka
NLTC Perera,CR Brathwaite,26,Sri Lanka
NLTC Perera,S Badree,26,Sri Lanka
NLTC Perera,ADS Fletcher,26,Sri Lanka
NLTC Perera,LE Plunkett,26,Sri Lanka
NLTC Perera,E Lewis,26,Sri Lanka
NLTC Perera,LMP Simmons,26,Sri Lanka
NLTC Perera,R Dhawan,26,Sri Lanka
NLTC Perera,JD Unadkat,26,Sri Lanka
NLTC Perera,YS Chahal,26,Sri Lanka
NLTC Perera,DS Kulkarni,26,Sri Lanka
NLTC Perera,LA Dawson,26,Sri Lanka
NLTC Perera,TS Mills,26,Sri Lanka
NLTC Perera,KA Pollard,26,Sri Lanka
NLTC Perera,SP Narine,26,Sri Lanka
NLTC Perera,A Mishra,26,Sri Lanka
NLTC Perera,GJ Bailey,26,Sri Lanka
NLTC Perera,MC Henriques,26,Sri Lanka
NLTC Perera,Babar Azam,26,Sri Lanka
NLTC Perera,Sohail Tanvir,26,Sri Lanka
NLTC Perera,Hasan Ali,26,Sri Lanka
NLTC Perera,CAK Walton,26,Sri Lanka
NLTC Perera,KOK Williams,26,Sri Lanka
NLTC Perera,Rumman Raees,26,Sri Lanka
NLTC Perera,Rubel Hossain,26,Sri Lanka
NLTC Perera,JDS Neesham,26,Sri Lanka
NLTC Perera,JT Smuts,26,Sri Lanka
NLTC Perera,M Klinger,26,Sri Lanka
NLTC Perera,Kamran Akmal,26,Sri Lanka
NLTC Perera,Shadab Khan,26,Sri Lanka
NLTC Perera,T Shamsi,26,Sri Lanka
NLTC Perera,DJ Malan,26,Sri Lanka
NLTC Perera,KD Karthik,26,Sri Lanka
NLTC Perera,Kuldeep Yadav,26,Sri Lanka
NLTC Perera,Sohail Khan,26,Sri Lanka
NLTC Perera,DT Christian,26,Sri Lanka
L Ronchi,MJ Henry,13,New Zealand
L Ronchi,MJ McClenaghan,13,New Zealand
L Ronchi,IS Sodhi,13,New Zealand
L Ronchi,Mohammad Shahzad,13,New Zealand
L Ronchi,Mohammad Nabi,13,New Zealand
L Ronchi,Rashid Khan,13,New Zealand
L Ronchi,MJ Santner,13,New Zealand
L Ronchi,AF Milne,13,New Zealand
L Ronchi,Mohammad Hafeez,13,New Zealand
L Ronchi,Ahmed Shehzad,13,New Zealand
L Ronchi,Shoaib Malik,13,New Zealand
L Ronchi,Umar Akmal,13,New Zealand
L Ronchi,Shahid Afridi,13,New Zealand
L Ronchi,Imad Wasim,13,New Zealand
L Ronchi,Wahab Riaz,13,New Zealand
L Ronchi,Mohammad Amir,13,New Zealand
L Ronchi,Tamim Iqbal,13,New Zealand
L Ronchi,Sabbir Rahman,13,New Zealand
L Ronchi,Shakib Al,13,New Zealand
L Ronchi,Mahmudullah,13,New Zealand
L Ronchi,Mashrafe Mortaza,13,New Zealand
L Ronchi,Al-Amin Hossain,13,New Zealand
L Ronchi,Mustafizur Rahman,13,New Zealand
L Ronchi,Taskin Ahmed,13,New Zealand
L Ronchi,RG Sharma,13,New Zealand
L Ronchi,S Dhawan,13,New Zealand
L Ronchi,V Kohli,13,New Zealand
L Ronchi,SK Raina,13,New Zealand
L Ronchi,MS Dhoni,13,New Zealand
L Ronchi,AJ Finch,13,New Zealand
L Ronchi,DA Warner,13,New Zealand
L Ronchi,SPD Smith,13,New Zealand
L Ronchi,CA Lynn,13,New Zealand
L Ronchi,SR Watson,13,New Zealand
L Ronchi,HH Pandya,13,New Zealand
L Ronchi,JJ Bumrah,13,New Zealand
L Ronchi,A Nehra,13,New Zealand
L Ronchi,SE Marsh,13,New Zealand
L Ronchi,GJ Maxwell,13,New Zealand
L Ronchi,AJ Tye,13,New Zealand
L Ronchi,AM Rahane,13,New Zealand
L Ronchi,S Prasanna,13,New Zealand
L Ronchi,JJ Roy,13,New Zealand
L Ronchi,EJG Morgan,13,New Zealand
L Ronchi,JC Buttler,13,New Zealand
L Ronchi,CJ Jordan,13,New Zealand
L Ronchi,AU Rashid,13,New Zealand
L Ronchi,DJ Willey,13,New Zealand
L Ronchi,HM Amla,13,New Zealand
L Ronchi,AB de,13,New Zealand
L Ronchi,DA Miller,13,New Zealand
L Ronchi,D Wiese,13,New Zealand
L Ronchi,CH Morris,13,New Zealand
L Ronchi,KJ Abbott,13,New Zealand
L Ronchi,Imran Tahir,13,New Zealand
L Ronchi,SW Billings,13,New Zealand
L Ronchi,SL Malinga,13,New Zealand
L Ronchi,Mohammad Sami,13,New Zealand
L Ronchi,B Kumar,13,New Zealand
L Ronchi,A Zampa,13,New Zealand
L Ronchi,F Behardien,13,New Zealand
L Ronchi,J Charles,13,New Zealand
L Ronchi,CH Gayle,13,New Zealand
L Ronchi,MN Samuels,13,New Zealand
L Ronchi,DJ Bravo,13,New Zealand
L Ronchi,AD Russell,13,New Zealand
L Ronchi,DJG Sammy,13,New Zealand
L Ronchi,CR Brathwaite,13,New Zealand
L Ronchi,S Badree,13,New Zealand
L Ronchi,ADS Fletcher,13,New Zealand
L Ronchi,LE Plunkett,13,New Zealand
L Ronchi,E Lewis,13,New Zealand
L Ronchi,LMP Simmons,13,New Zealand
L Ronchi,R Dhawan,13,New Zealand
L Ronchi,JD Unadkat,13,New Zealand
L Ronchi,YS Chahal,13,New Zealand
L Ronchi,DS Kulkarni,13,New Zealand
L Ronchi,LA Dawson,13,New Zealand
L Ronchi,TS Mills,13,New Zealand
L Ronchi,KA Pollard,13,New Zealand
L Ronchi,SP Narine,13,New Zealand
L Ronchi,A Mishra,13,New Zealand
